address_id,city,street_name,street_num,postal_code,building_name
1,Waterloo,Albert St,246,N2J2J1,
2,Waterloo,Albert St,228,N0P5A8,
3,Waterloo,Lester St,250,N2L5F8,
4,Waterloo,King St N,333,N7L1V4,
5,Waterloo,Spruce St,330,N4G3C2,
6,Waterloo,Columbia St W,130,N2S8P2,
7,Waterloo,Phillip St,254,N3C9P9,
8,Waterloo,Phillip St,330,N6F5P6,Icon
9,Waterloo,Albert St,253,N9T3Q6,
10,Waterloo,University Ave W,131,N4V1M0,
11,Waterloo,Columbia St W,130,N5N3X1,
12,Waterloo,Phillip St,254,N7Y1L2,
13,Waterloo,Phillip St,280,N3P3P9,
14,Waterloo,King St N,315,N1I8Y7,
15,Waterloo,Columbia St W,34,N4U7R7,
16,Waterloo,Fir St,31,N8A2V8,
17,Waterloo,Albert St,365,N7Q2F5,
18,Waterloo,Albert St,239,N4Z6T6,
19,Waterloo,Albert St,228,N7I0G0,
20,Waterloo,Phillip St,330,N7V3F3,